,subject_id,NUMBER_OF_INSTALLMENTS,SANCTION_AMT,TOT_OUTSTD_BAL,OVER_DUE_AMT,AMOUNT_OF_INSTALLMENT,DEFAULT,REPAYMENT_FREQUENCY_AnnualInstalments360Days,REPAYMENT_FREQUENCY_AtTheFinalDayOfThePeriodOfContract,REPAYMENT_FREQUENCY_FortnightlyInstalments15Days,REPAYMENT_FREQUENCY_IrregularInstalments,REPAYMENT_FREQUENCY_MonthlyInstalments30Days,REPAYMENT_FREQUENCY_SixMonthInstalments180Days,INSTALMENT_LOAN_TYPE_BusinessLoan,INSTALMENT_LOAN_TYPE_ConsumerLoan,INSTALMENT_LOAN_TYPE_CreditCard,INSTALMENT_LOAN_TYPE_LeasingFinancial,INSTALMENT_LOAN_TYPE_LineOfCreditOnCurrentAccount,INSTALMENT_LOAN_TYPE_MortgageLoan,INSTALMENT_LOAN_TYPE_OtherInstalmentOperation,INSTALMENT_LOAN_TYPE_Overdraft,loan_status_Existing,loan_status_TerminatedAccordingTheContract,loan_status_TerminatedInAdvanceCorrectly,loan_status_TerminatedInAdvanceIncorrectly
36,110117010002289759,12.0,25000000.0,18911919.28,0.0,2363989.92,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
37,110117010002102409,60.0,7300000.0,11492229.24,0.0,201618.06,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
38,110116010001967022,60.0,6500000.0,9904982.63,0.0,168613.58,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
39,110116010001696046,36.0,8000000.0,2845982.0,0.0,297309.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
40,110117010002372122,10.0,1362128.11,365128.12,0.0,136213.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
41,110118010002655536,60.0,2000000.0,3009104.02,0.0,51881.1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
42,110114010000554446,60.0,11000000.0,9217814.24,0.0,279327.7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
43,110113010000451532,60.0,7500000.0,6151010.7,0.0,186394.32,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
44,110116010001886408,60.0,8100000.0,12186871.15,0.0,210118.46,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
45,110114010000541314,36.0,3000000.0,3883070.78,3883070.78,130800.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
46,110117010002109896,36.0,2500000.0,3150712.45,0.0,95476.13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
47,110114010000699588,60.0,3200000.0,1056366.43,0.0,81258.97,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
48,110118010002576397,60.0,22000000.0,29309191.74,0.0,523378.46,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
49,110113010000311640,60.0,7600000.0,4497400.0,0.0,247000.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
50,110113010000357419,28.0,1152967.04,506692.49,0.0,50786.85,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
51,110115010001639017,12.0,2092048.38,165083.58,165083.58,174337.31,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
52,110114010000544156,0.0,2000000.0,1940000.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
53,110114010000676991,60.0,6300000.0,5883317.15,0.0,163425.47,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
54,110117010002146949,60.0,8300000.0,11461848.53,0.0,229236.97,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
55,110114010000870377,60.0,6500000.0,6744543.46,0.0,168613.58,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
56,110115010001465724,36.0,120000000.0,0.0,0.0,2071232.88,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
57,110113010000289559,60.0,16500000.0,14605238.8,0.0,448946.33,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
58,110117010002274307,60.0,8200000.0,10417853.51,0.0,226475.08,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
59,110117010002186569,6.0,708000.0,307.19,772027.19,128620.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
60,110114010000828295,60.0,2100000.0,1032957.83,0.0,53326.2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
61,110117010002262466,60.0,7000000.0,7789201.54,0.0,185457.19,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
62,110117010002477704,72.0,14000000.0,0.0,0.0,309629.43,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
63,110113010000506674,72.0,14000000.0,13898139.88,95211.83,343503.95,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
64,110115010001296082,12.0,5000000.0,416666.63,0.0,504166.67,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
65,110117010002384432,60.0,2935000.0,2819504.66,0.0,79640.4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
66,110117010002450063,72.0,15500000.0,15283071.65,106618.99,380307.94,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
67,110118010002639192,48.0,1400000.0,1168236.5,0.0,46419.98,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
68,110114010000996264,36.0,3900000.0,0.0,0.0,153833.33,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
69,110114010001045607,36.0,26000000.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
70,110118010002639327,48.0,1600000.0,1147154.6,0.0,53051.41,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
71,110113010000509239,72.0,6800000.0,6798471.03,0.0,183172.8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
72,110115010001543559,24.0,1600000.0,1104364.82,9015.48,85394.43,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
73,110116010001751772,48.0,1700000.0,1679728.77,41748.5,56367.12,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
74,110113010000530802,60.0,7400000.0,7009282.5,0.0,217199.79,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
75,110118010002586373,48.0,4200000.0,3439984.61,0.0,139259.94,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
76,110113010000295160,68.0,8000000.0,104520.78,104520.78,224293.8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
77,110115010001480847,48.0,2000000.0,1473749.31,0.0,66314.26,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
78,110117010002500053,36.0,2900000.0,644444.32,0.0,111972.23,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
79,110114010001056330,36.0,9000000.0,0.0,0.0,277499.46,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
80,110118010002639065,72.0,7000000.0,6032792.71,0.0,180061.77,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
